StringId	Values
static.opening1	泰坦统治着这个世界！
static.opening2	他们视人类如蝼蚁，世间如炼狱…
static.opening3	宙斯号召人类最勇敢的佣兵
static.opening4	加入抵抗泰坦的队伍
static.opening5	一场大战就此展开…
static.setpoint1	挑战会损失生命
static.setpoint2	{0}属性点 = {1}点生命
static.setpoint3	做任务会消耗能量
static.setpoint4	{0}属性点 = {1}点能量
static.setpoint5	主动攻击会消耗法力
static.setpoint6	{0}属性点 = {1}点法力
static.setpoint7	力量大小决定能装备几件武器和防具
static.setpoint8	{0}属性点 = {1}点力量
static.warriorTip	野蛮的斯巴达人，体格强壮！防御已经植根于他们的血液里
static.archerTip	神秘的波斯人，永远不要轻视，往往能演出绝地反击的壮举
static.sorceressTip	虔诚的雅典人，忠于诸神，但其实进攻才是他们的拿手好戏
static.noLoot	没有掉落
static.loot	获得
static.gongLei	挑战城主
static.kill	击 杀
static.speak	说:
static.view	查看
static.challenge	挑战
static.shop	商店
static.forgeShop	铁匠铺
static.rank	排名
static.field	任务
static.gambling	诸神宝藏
static.guildWar	公会战
static.revive	复活
static.recover	回复
static.creteIsland	克里特岛
static.crete.epicWar	公会争霸战
static.crete.resourceWar	公会BOSS战
static.crete.honorShop	荣誉商店
static.crete.epicWarCredit	争霸战积分
static.crete.guildCredit	公会积分
static.crete.personalCredit	个人积分
static.crete.prize	领奖
static.crete.awardInfo	[#056400]恭喜获得第[#c10000]{0}[#056400]名，获得：
static.crete.awardText	点击确定领取奖励
static.crete.awardSuccess	领奖成功
static.crete.awardTitle	领奖提示
static.crete.awardInfoText	您的个人积分排名超出奖励范围无法获得奖励，请确认...
static.crete.mineralWar	伐木场抢夺战
static.crete.creteIslandOwner	[#240600]占领公会:[#f6000f]{0}
static.crete.occuppied	占领了{0}天
static.crete.notInGuild.title	不在公会中
static.crete.notInGuild.epicWar	您不在公会中,不可以参加公会争霸战。
static.crete.notInGuild.bossWar	您不在公会中,不可以参加公会BOSS战。
static.crete.notInGuild.resourceWar	您不在公会中,不可以参加资源争夺战。
