ID	名称	图标	大类	小类	商城	地图商店	攻	防	暴击	闪避	解锁等级	购买	出售	品质	赠送	维护费用	制作时间1	制作时间2	制作时间3	制作时间4	合成价格	合成概率	合成目标	打造价格	描述
1	name.weapon.1	49	1	17	0	1	30	0	0	0	3	3	1	1	0	0	210	330	660	1320	9	50	1001	3	tip.weapon.1
2	name.weapon.2	61	1	17	0	1	70	0	0	0	7	7	1	1	0	0	210	330	660	1320	20	50	1002	7	tip.weapon.2
3	name.weapon.3	85	1	17	0	2	120	0	0	0	11	11	1	1	0	0	210	330	660	1320	30	50	1003	11	tip.weapon.3
4	name.weapon.4	37	1	17	0	2	180	0	0	0	14	14	1	1	0	0	210	330	660	1320	40	50	1004	14	tip.weapon.4
5	name.weapon.5	2	1	17	0	2	240	0	0	0	17	17	1	1	0	0	210	330	660	1320	50	50	1005	17	tip.weapon.5
6	name.weapon.6	50	1	17	0	2	300	0	0	0	20	20	2	1	0	0	210	330	660	1320	60	50	1006	20	tip.weapon.6
7	name.weapon.7	91	1	17	0	3	340	0	0	0	22	22	2	1	0	0	210	330	660	1320	60	50	1007	22	tip.weapon.7
8	name.weapon.8	6	1	17	0	3	380	0	0	0	24	24	2	1	0	0	210	330	660	1320	70	50	1008	24	tip.weapon.8
9	name.weapon.9	38	1	17	0	3	420	0	0	0	26	26	2	1	0	0	210	330	660	1320	70	50	1009	26	tip.weapon.9
10	name.weapon.10	220	1	17	0	3	460	0	0	0	28	28	2	1	0	0	420	660	1320	2640	80	50	1010	28	tip.weapon.10
11	name.weapon.11	114	1	17	0	3	500	0	0	0	30	30	3	1	0	0	420	660	1320	2640	90	50	1011	30	tip.weapon.11
12	name.weapon.12	25	1	17	0	4	580	0	0	0	32	40	4	1	0	0	420	660	1320	2640	120	50	1012	40	tip.weapon.12
13	name.weapon.13	64	1	17	0	4	660	0	0	0	34	50	5	1	0	0	420	660	1320	2640	150	50	1013	50	tip.weapon.13
14	name.weapon.14	86	1	17	0	4	740	0	0	0	36	60	6	1	0	0	420	660	1320	2640	180	50	1014	60	tip.weapon.14
15	name.weapon.15	5	1	17	0	4	820	0	0	0	38	70	7	1	0	0	420	660	1320	2640	210	50	1015	70	tip.weapon.15
16	name.weapon.16	92	1	17	0	4	900	0	0	0	40	80	8	1	0	0	420	660	1320	2640	240	50	1016	80	tip.weapon.16
