等级	升级经验	雇佣价格	雇佣上限	每日上限	通缉价格	银行上限	奖励道具	道具数量	奖励武器	武器数量	宝石数量	经验争夺	世界BOSS	升级文字
1	100	50	10	0	100	50000	0	0	0	0	0	1	0	upgrade.1
2	180	100	10	0	200	50000	0	0	1	2	0	1	0	upgrade.2
3	275	150	10	0	300	50000	11501	2	0	0	0	1	0	upgrade.3
4	310	200	10	0	400	50000	11501	2	1	2	0	1	0	upgrade.4
5	600	250	10	0	500	50000	20001	1	0	0	0	1	0	upgrade.5
6	750	300	10	0	600	50000	11501	4	0	0	0	1	0	upgrade.6
7	1040	350	10	0	700	50000	0	0	2	2	0	1	0	upgrade.7
8	1320	400	10	0	800	50000	14501	1	0	0	0	1	0	upgrade.8
9	1740	450	10	0	900	50000	0	0	2	2	0	1	0	upgrade.9
10	2100	500	10	0	1000	50000	20002	1	0	0	0	1	5	upgrade.10
11	3700	550	10	0	1100	50000	0	0	3	2	0	1	5	upgrade.11
12	4140	600	10	0	1200	50000	11501	4	0	0	0	1	10	upgrade.12
13	4620	650	10	0	1300	50000	14501	2	3	2	0	1	10	upgrade.13
14	5140	700	10	0	1400	50000	20501	1	0	0	0	1	10	upgrade.14
15	6000	750	10	0	1500	50000	20001	1	0	0	0	1	15	upgrade.15
16	6600	800	10	0	1600	50000	20501	1	0	0	0	1	15	upgrade.16
17	7610	850	10	0	1700	50000	0	0	5	2	0	1	20	upgrade.17
18	8480	900	10	0	1800	50000	14501	2	0	0	0	1	20	upgrade.18
19	9910	950	10	0	1900	50000	0	0	5	2	0	1	25	upgrade.19
20	13300	1000	10	0	2000	50000	20002	1	0	0	5	1	30	upgrade.20
21	14567	1050	10	0	2100	50000	20501	1	0	0	1	2	30	upgrade.21
22	17423	1100	10	0	2200	50000	14501	1	0	0	1	2	40	upgrade.22
23	19327	1150	10	0	2300	50000	20501	1	0	0	1	2	45	upgrade.23
24	23191	1200	10	0	2400	50000	14501	1	0	0	1	3	55	upgrade.24
25	29600	1250	10	0	2500	50000	20001	1	0	0	5	4	65	upgrade.25
26	35528	1300	10	0	2600	50000	20501	1	0	0	1	4	80	upgrade.26
27	39816	1350	10	0	2700	50000	14501	1	0	0	1	5	85	upgrade.27
28	47680	1400	10	0	2800	50000	20501	1	0	0	1	6	105	upgrade.28
29	53512	1450	10	0	2900	50000	14501	1	0	0	1	7	120	upgrade.29
30	73210	1500	10	0	3000	50000	20002	1	0	0	10	10	155	upgrade.30
31	77360	1550	10	0	3100	50000	20501	1	0	0	1	10	160	upgrade.31
32	85220	1600	10	0	3200	50000	14501	1	0	0	1	11	180	upgrade.32
33	88140	1650	10	0	3300	50000	20501	1	0	0	1	12	185	upgrade.33
34	96690	1700	10	0	3400	50000	14501	1	0	0	1	13	205	upgrade.34
35	99990	1750	10	0	3500	50000	20001	1	0	0	5	13	195	upgrade.35
36	110130	1800	10	0	3600	50000	20501	1	0	0	1	15	220	upgrade.36
37	114700	1850	10	0	3700	50000	14501	1	0	0	1	15	225	upgrade.37
38	125820	1900	10	0	3800	50000	20501	1	0	0	1	17	250	upgrade.38
39	131780	1950	10	0	3900	50000	14501	1	0	0	1	18	260	upgrade.39
40	144960	2000	10	0	4000	50000	20003	1	0	0	10	20	270	upgrade.40
41	151560	2050	10	0	4100	50000	20501	1	0	0	1	21	280	upgrade.41
42	167040	2100	10	0	4200	50000	14501	1	0	0	1	23	310	upgrade.42
43	175340	2150	10	0	4300	50000	20501	1	0	0	1	24	325	upgrade.43
44	192430	2200	10	0	4400	50000	14501	1	0	0	1	26	355	upgrade.44
45	202680	2250	10	0	4500	50000	20004	1	0	0	5	28	350	upgrade.45
46	222680	2300	10	0	4600	50000	20501	1	0	0	1	30	385	upgrade.46
47	235120	2350	10	0	4700	50000	14501	1	0	0	1	32	405	upgrade.47
48	258470	2400	10	0	4800	50000	20501	1	0	0	1	35	445	upgrade.48
49	273380	2450	10	0	4900	50000	14501	1	0	0	1	37	470	upgrade.49
50	300540	2500	10	0	5000	50000	20003	1	0	0	10	41	480	upgrade.50
51	327940	2550	10	0	5100	50000	20501	1	0	0	1	45	520	upgrade.51
52	360430	2600	10	0	5200	50000	14501	1	0	0	1	50	575	upgrade.52
53	382040	2650	10	0	5300	50000	20501	1	0	0	1	50	610	upgrade.53
54	421070	2700	10	0	5400	50000	14501	1	0	0	1	55	670	upgrade.54
55	446480	2750	10	0	5500	50000	20004	1	0	0	5	60	650	upgrade.55
56	491500	2800	10	0	5600	50000	20501	1	0	0	1	65	720	upgrade.56
57	522810	2850	10	0	5700	50000	14501	1	0	0	1	70	765	upgrade.57
58	576310	2900	10	0	5800	50000	20501	1	0	0	1	80	840	upgrade.58
59	612740	2950	10	0	5900	50000	14501	1	0	0	1	85	895	upgrade.59
60	674270	3000	10	0	6000	50000	20003	1	0	0	10	90	940	upgrade.60
61	718260	3050	10	0	6100	50000	20501	1	0	0	1	95	955	upgrade.61
62	790780	3100	10	0	6200	50000	14501	1	0	0	1	105	1050	upgrade.62
63	843480	3150	10	0	6300	50000	20501	1	0	0	1	115	1120	upgrade.63
64	928670	3200	10	0	6400	50000	14501	1	0	0	1	125	1235	upgrade.64
65	991330	3250	10	0	6500	50000	20004	1	0	0	5	135	1320	upgrade.65
66	1091070	3300	10	0	6600	50000	20501	1	0	0	1	150	1450	upgrade.66
67	1167320	3350	10	0	6700	50000	14501	1	0	0	1	160	1555	upgrade.67
68	1286080	3400	10	0	6800	50000	20501	1	0	0	1	175	1710	upgrade.68
69	1375670	3450	10	0	6900	50000	14501	1	0	0	1	190	1830	upgrade.69
70	1516330	3500	10	0	7000	50000	20005	1	0	0	10	210	1835	upgrade.70
71	1671470	3550	10	0	7100	50000	20501	1	0	0	1	230	2005	upgrade.71
72	1842270	3600	10	0	7200	50000	14501	1	0	0	1	255	2235	upgrade.72
73	1973930	3650	10	0	7300	50000	20501	1	0	0	1	270	2390	upgrade.73
74	2174690	3700	10	0	7400	50000	14501	1	0	0	1	300	2635	upgrade.74
75	2333480	3750	10	0	7500	50000	20006	1	0	0	5	320	2830	upgrade.75
76	2571900	3800	10	0	7600	50000	20501	1	0	0	1	355	3120	upgrade.76
77	2762040	3850	10	0	7700	50000	14501	1	0	0	1	380	3350	upgrade.77
78	3044020	3900	10	0	7800	50000	20501	1	0	0	1	420	3690	upgrade.78
79	3270290	3950	10	0	7900	50000	14501	1	0	0	1	450	3965	upgrade.79
80	3500570	4000	10	0	8000	50000	20005	1	0	0	10	485	3970	upgrade.80
81	3567350	4050	10	0	8100	50000	20501	1	0	0	1	495	4045	upgrade.81
82	3819530	4100	10	0	8200	50000	14501	1	0	0	1	530	4330	upgrade.82
83	3902180	4150	10	0	8300	50000	20501	1	0	0	1	540	4425	upgrade.83
84	4178860	4200	10	0	8400	50000	14501	1	0	0	1	580	4740	upgrade.84
85	4278940	4250	10	0	8500	50000	20006	1	0	0	5	590	4850	upgrade.85
86	4578890	4300	10	0	8600	50000	20501	1	0	0	1	635	5195	upgrade.86
87	4698190	4350	10	0	8700	50000	14501	1	0	0	1	650	5330	upgrade.87
88	5028290	4400	10	0	8800	50000	20501	1	0	0	1	695	5700	upgrade.88
89	5168830	4450	10	0	8900	50000	14501	1	0	0	1	715	5860	upgrade.89
90	5374540	4500	10	0	9000	50000	20005	1	0	0	10	745	5890	upgrade.90
91	5529510	4550	10	0	9100	50000	20501	1	0	0	1	765	5895	upgrade.91
92	5749970	4600	10	0	9200	50000	14501	1	0	0	1	795	6130	upgrade.92
93	5760180	4650	10	0	9300	50000	20501	1	0	0	1	800	6140	upgrade.93
94	5990040	4700	10	0	9400	50000	14501	1	0	0	1	830	6385	upgrade.94
95	6008920	4750	10	0	9500	50000	20006	1	0	0	5	830	6405	upgrade.95
96	6248730	4800	10	0	9600	50000	20501	1	0	0	1	865	6660	upgrade.96
97	6276270	4850	10	0	9700	50000	14501	1	0	0	1	870	6690	upgrade.97
98	6526600	4900	10	0	9800	50000	20501	1	0	0	1	905	6960	upgrade.98
99	6562850	4950	10	0	9900	50000	14501	1	0	0	1	910	7000	upgrade.99
100	6824260	5000	10	0	10000	50000	20009	1	0	0	10	945	7230	upgrade.100
101	7840000	5025	10	0	10050	50000	20501	1	0	0	1	1085	7315	upgrade.101
102	7957990	5050	10	0	10100	50000	14501	1	0	0	1	1105	7425	upgrade.102
103	8077750	5075	10	0	10150	50000	20501	1	0	0	1	1120	7535	upgrade.103
104	8199320	5100	10	0	10200	50000	14501	1	0	0	1	1135	7650	upgrade.104
105	8322720	5125	10	0	10250	50000	20010	1	0	0	5	1155	7765	upgrade.105
106	8447980	5150	10	0	10300	50000	20501	1	0	0	1	1170	7880	upgrade.106
107	8575120	5175	10	0	10350	50000	14501	1	0	0	1	1190	8000	upgrade.107
108	8704180	5200	10	0	10400	50000	20501	1	0	0	1	1205	8120	upgrade.108
109	8835180	5225	10	0	10450	50000	14501	1	0	0	1	1225	8245	upgrade.109
110	8968150	5250	10	0	10500	50000	20009	1	0	0	10	1245	8365	upgrade.110
111	9103120	5275	10	0	10550	50000	20501	1	0	0	1	1260	8495	upgrade.111
112	9240120	5300	10	0	10600	50000	14501	1	0	0	1	1280	8620	upgrade.112
113	9379180	5325	10	0	10650	50000	20501	1	0	0	1	1300	8750	upgrade.113
114	9520340	5350	10	0	10700	50000	14501	1	0	0	1	1320	8885	upgrade.114
115	9663620	5375	10	0	10750	50000	20010	1	0	0	5	1340	9015	upgrade.115
116	9809060	5400	10	0	10800	50000	20501	1	0	0	1	1360	9150	upgrade.116
117	9956690	5425	10	0	10850	50000	14501	1	0	0	1	1380	9290	upgrade.117
118	10106530	5450	10	0	10900	50000	20501	1	0	0	1	1400	9430	upgrade.118
119	10258640	5475	10	0	10950	50000	14501	1	0	0	1	1420	9570	upgrade.119
120	10413030	5500	10	0	11000	50000	20009	1	0	0	10	1445	9715	upgrade.120
121	10569750	5525	10	0	11050	50000	20501	1	0	0	1	1465	9860	upgrade.121
122	10728820	5550	10	0	11100	50000	14501	1	0	0	1	1490	10010	upgrade.122
123	10890290	5575	10	0	11150	50000	20501	1	0	0	1	1510	10160	upgrade.123
124	11054190	5600	10	0	11200	50000	14501	1	0	0	1	1535	10315	upgrade.124
125	11220550	5625	10	0	11250	50000	20010	1	0	0	5	1555	10470	upgrade.125
126	11389420	5650	10	0	11300	50000	20501	1	0	0	1	1580	10625	upgrade.126
127	11560830	5675	10	0	11350	50000	14501	1	0	0	1	1605	10785	upgrade.127
128	11734820	5700	10	0	11400	50000	20501	1	0	0	1	1625	10950	upgrade.128
129	11911430	5725	10	0	11450	50000	14501	1	0	0	1	1650	11115	upgrade.129
130	12090700	5750	10	0	11500	50000	20009	1	0	0	10	1675	11280	upgrade.130
131	12272670	5775	10	0	11550	50000	20501	1	0	0	1	1700	11450	upgrade.131
132	12457370	5800	10	0	11600	50000	14501	1	0	0	1	1730	11625	upgrade.132
133	12644850	5825	10	0	11650	50000	20501	1	0	0	1	1755	11800	upgrade.133
134	12835160	5850	10	0	11700	50000	14501	1	0	0	1	1780	11975	upgrade.134
135	13028330	5875	10	0	11750	50000	20010	1	0	0	5	1805	12155	upgrade.135
136	13224400	5900	10	0	11800	50000	20501	1	0	0	1	1835	12340	upgrade.136
137	13423430	5925	10	0	11850	50000	14501	1	0	0	1	1860	12525	upgrade.137
138	13625450	5950	10	0	11900	50000	20501	1	0	0	1	1890	12715	upgrade.138
139	13830520	5975	10	0	11950	50000	14501	1	0	0	1	1920	12905	upgrade.139
140	14038670	6000	10	0	12000	50000	20009	1	0	0	10	1945	13100	upgrade.140
141	14249950	6025	10	0	12050	50000	20501	1	0	0	1	1975	13295	upgrade.141
142	14464410	6050	10	0	12100	50000	14501	1	0	0	1	2005	13500	upgrade.142
143	14682100	6075	10	0	12150	50000	20501	1	0	0	1	2035	13700	upgrade.143
144	14903070	6100	10	0	12200	50000	14501	1	0	0	1	2065	13905	upgrade.144
145	15127360	6125	10	0	12250	50000	20010	1	0	0	5	2100	14115	upgrade.145
146	15355020	6150	10	0	12300	50000	20501	1	0	0	1	2130	14330	upgrade.146
147	15586120	6175	10	0	12350	50000	14501	1	0	0	1	2160	14545	upgrade.147
148	15820690	6200	10	0	12400	50000	20501	1	0	0	1	2195	14765	upgrade.148
149	16058790	6225	10	0	12450	50000	14501	1	0	0	1	2230	14985	upgrade.149
150	16300480	6250	10	0	12500	50000	20009	1	0	0	10	2260	15210	upgrade.150
151	16545800	6275	10	0	12550	50000	20501	1	0	0	1	2295	15440	upgrade.151
152	16794810	6300	10	0	12600	50000	14501	1	0	0	1	2330	15670	upgrade.152
153	17047570	6325	10	0	12650	50000	20501	1	0	0	1	2365	15910	upgrade.153
154	17304140	6350	10	0	12700	50000	14501	1	0	0	1	2400	16150	upgrade.154
155	17564570	6375	10	0	12750	50000	20010	1	0	0	5	2435	16390	upgrade.155
156	17828910	6400	10	0	12800	50000	20501	1	0	0	1	2475	16640	upgrade.156
157	18097240	6425	10	0	12850	50000	14501	1	0	0	1	2510	16890	upgrade.157
158	18369600	6450	10	0	12900	50000	20501	1	0	0	1	2550	17140	upgrade.158
159	18646060	6475	10	0	12950	50000	14501	1	0	0	1	2585	17400	upgrade.159
160	18926690	6500	10	0	13000	50000	20009	1	0	0	10	2625	17660	upgrade.160
161	19211540	6525	10	0	13050	50000	20501	1	0	0	1	2665	17930	upgrade.161
162	19500670	6550	10	0	13100	50000	14501	1	0	0	1	2705	18200	upgrade.162
163	19794150	6575	10	0	13150	50000	20501	1	0	0	1	2745	18470	upgrade.163
164	20092060	6600	10	0	13200	50000	14501	1	0	0	1	2790	18750	upgrade.164
165	20394440	6625	10	0	13250	50000	20010	1	0	0	5	2830	19030	upgrade.165
166	20701380	6650	10	0	13300	50000	20501	1	0	0	1	2875	19320	upgrade.166
167	21012930	6675	10	0	13350	50000	14501	1	0	0	1	2915	19610	upgrade.167
168	21329180	6700	10	0	13400	50000	20501	1	0	0	1	2960	19905	upgrade.168
169	21650180	6725	10	0	13450	50000	14501	1	0	0	1	3005	20205	upgrade.169
170	21976020	6750	10	0	13500	50000	20009	1	0	0	10	3050	20510	upgrade.170
171	22306760	6775	10	0	13550	50000	20501	1	0	0	1	3095	20815	upgrade.171
172	22642470	6800	10	0	13600	50000	14501	1	0	0	1	3140	21130	upgrade.172
173	22983240	6825	10	0	13650	50000	20501	1	0	0	1	3190	21450	upgrade.173
174	23329140	6850	10	0	13700	50000	14501	1	0	0	1	3240	21770	upgrade.174
175	23680240	6875	10	0	13750	50000	20010	1	0	0	5	3285	22100	upgrade.175
176	24036630	6900	10	0	13800	50000	20501	1	0	0	1	3335	22430	upgrade.176
177	24398380	6925	10	0	13850	50000	14501	1	0	0	1	3385	22770	upgrade.177
178	24765580	6950	10	0	13900	50000	20501	1	0	0	1	3435	23110	upgrade.178
