ID	名称	解锁等级	图标	大类	小类	是否商城道具	参数	是否可赠送	描述	buff类型	持续时间	buff描述	买入价格	卖出价格
10001	name.inventory.10001	0	3	2	1	1	50	0	tip.inventory.10001	0	0	0	0	100
10002	name.inventory.10002	0	1	2	1	1	100	0	tip.inventory.10002	0	0	0	0	200
10003	name.inventory.10003	0	2	2	1	1	200	0	tip.inventory.10003	0	0	0	0	500
10501	name.inventory.10501	0	6	2	2	1	20	0	tip.inventory.10501	0	0	0	0	100
10502	name.inventory.10502	0	5	2	2	1	50	0	tip.inventory.10502	0	0	0	0	200
10503	name.inventory.10503	0	4	2	2	1	100	1	tip.inventory.10503	0	0	0	5	500
11001	name.inventory.11001	0	9	2	3	1	20	0	tip.inventory.11001	3	3600	tip.inventory.11001	0	100
11002	name.inventory.11002	0	8	2	3	1	50	0	tip.inventory.11002	3	3600	tip.inventory.11002	0	200
11003	name.inventory.11003	0	7	2	3	1	100	0	tip.inventory.11003	3	3600	tip.inventory.11003	0	500
11501	name.inventory.11501	0	27	2	4	1	500	0	tip.inventory.11501	0	0	0	5	100
11502	name.inventory.11502	0	26	2	4	1	1000	0	tip.inventory.11502	0	0	0	20	200
11503	name.inventory.11503	0	25	2	4	1	2000	1	tip.inventory.11503	0	0	0	25	500
12001	name.inventory.12001	0	15	2	5	1	20	0	tip.inventory.12001	0	0	0	0	100
12002	name.inventory.12002	0	14	2	5	1	50	0	tip.inventory.12002	0	0	0	0	200
12003	name.inventory.12003	0	13	2	5	1	100	1	tip.inventory.12003	0	0	0	5	500
12501	name.inventory.12501	0	18	2	6	1	20	0	tip.inventory.12501	6	3600	tip.inventory.12501	0	100
12502	name.inventory.12502	0	17	2	6	1	50	0	tip.inventory.12502	6	3600	tip.inventory.12502	0	200
12503	name.inventory.12503	0	16	2	6	1	100	0	tip.inventory.12503	6	3600	tip.inventory.12503	0	500
13001	name.inventory.13001	0	21	2	7	1	5	0	tip.inventory.13001	0	0	0	0	100
13002	name.inventory.13002	0	19	2	7	1	20	0	tip.inventory.13002	0	0	0	0	200
13003	name.inventory.13003	0	20	2	7	1	50	0	tip.inventory.13003	0	0	0	0	500
13501	name.inventory.13501	0	24	2	8	1	20	0	tip.inventory.13501	0	0	0	0	100
13502	name.inventory.13502	0	23	2	8	1	50	0	tip.inventory.13502	0	0	0	0	200
13503	name.inventory.13503	0	22	2	8	1	100	1	tip.inventory.13503	0	0	0	5	500
14001	name.inventory.14001	0	27	2	9	1	20	0	tip.inventory.14001	9	3600	tip.inventory.14001	0	100
14002	name.inventory.14002	0	26	2	9	1	50	0	tip.inventory.14002	9	3600	tip.inventory.14002	0	200
14003	name.inventory.14003	0	25	2	9	1	100	0	tip.inventory.14003	9	3600	tip.inventory.14003	0	500
14501	name.inventory.14501	0	31	2	10	1	0	1	tip.inventory.14501	0	0	0	10	100
15001	name.inventory.15001	0	27	2	11	1	20	0	tip.inventory.15001	0	0	0	0	0
15002	name.inventory.15002	0	27	2	11	1	50	0	tip.inventory.15002	0	0	0	0	0
15003	name.inventory.15003	0	27	2	11	1	100	0	tip.inventory.15003	0	0	0	0	0
15501	name.inventory.15501	0	20	2	12	1	5000	0	tip.inventory.15501	0	0	0	0	0
15502	name.inventory.15502	0	20	2	12	1	10000	0	tip.inventory.15502	0	0	0	0	0
15503	name.inventory.15503	0	20	2	12	1	50000	0	tip.inventory.15503	0	0	0	0	0
16001	name.inventory.16001	0	37	2	0	1	0	1	tip.inventory.16001	0	0	0	50	50
16002	name.inventory.16002	0	38	2	0	1	0	1	tip.inventory.16002	0	0	0	20	20
16003	name.inventory.16003	0	30	2	13	1	10	0	tip.inventory.16003	0	0	0	0	0
16501	name.inventory.16501	0	26	2	14	1	20	0	tip.inventory.16501	0	0	0	0	0
16502	name.inventory.16502	0	26	2	14	1	50	0	tip.inventory.16502	0	0	0	0	0
16503	name.inventory.16503	0	26	2	14	1	100	0	tip.inventory.16503	0	0	0	0	0
17001	name.inventory.17001	0	25	2	15	1	20	0	tip.inventory.17001	0	0	0	0	0
17002	name.inventory.17002	0	25	2	15	1	50	0	tip.inventory.17002	0	0	0	0	0
17003	name.inventory.17003	0	25	2	15	1	100	0	tip.inventory.17003	0	0	0	0	0
17501	name.inventory.17501	0	36	2	16	1	2	0	tip.inventory.17501	0	3600	0	30	100
17502	name.inventory.17502	0	44	2	16	1	100000	0	tip.inventory.17502	0	0	0	0	0
17503	name.inventory.17503	0	44	2	16	1	1000000	0	tip.inventory.17503	0	0	0	0	0
18001	name.inventory.18001	0	32	2	19	1	10	1	tip.inventory.18001	0	0	0	100	0
18002	name.inventory.18002	0	32	2	19	1	50	1	tip.inventory.18002	0	0	0	480	0
18003	name.inventory.18003	0	32	2	19	1	100	1	tip.inventory.18003	0	0	0	860	0
18004	name.inventory.18004	0	32	2	19	1	30	1	tip.inventory.18004	0	0	0	80	0
18005	name.inventory.18005	0	30	2	19	1	2	0	tip.inventory.18005	0	0	0	0	0
18006	name.inventory.18006	0	30	2	19	1	5	0	tip.inventory.18006	0	0	0	0	0
18501	name.inventory.18501	0	2	2	0	1	0	0	tip.inventory.18501	0	0	0	0	0
19001	name.badge.19001	0	1	2	21	1	0	0	tip.badge.19001	0	0	0	0	0
19002	name.badge.19002	0	1	2	21	1	0	0	tip.badge.19002	0	0	0	0	0
19003	name.badge.19003	0	1	2	21	1	0	0	tip.badge.19003	0	0	0	0	0
19004	name.badge.19004	0	1	2	21	1	0	0	tip.badge.19004	0	0	0	0	0
