怪物ID	怪物名称	Boss	等级	HP	AP	DP	反击概率	icon
1	name.monster.1	0	3	12	80	0	0	7
2	name.monster.2	0	6	24	300	0	0	7
3	name.monster.3	0	13	80	1600	0	0	0
4	name.monster.4	0	16	144	2200	0	0	0
5	name.monster.5	0	23	250	5400	0	0	5
6	name.monster.6	0	26	300	6300	0	0	5
7	name.monster.7	0	33	600	15500	0	0	1
8	name.monster.8	0	36	660	18500	0	0	1
9	name.monster.9	0	43	800	40800	0	0	3
10	name.monster.10	0	46	860	45600	0	0	3
11	name.monster.11	0	53	1000	72500	0	0	5
12	name.monster.12	0	56	1060	80000	0	0	5
13	name.monster.13	0	63	1200	107250	0	0	8
14	name.monster.14	0	66	1260	115500	0	0	8
15	name.monster.15	0	73	1360	169000	0	0	4
16	name.monster.16	0	76	1420	188500	0	0	4
17	name.monster.17	0	83	1600	300000	0	0	6
18	name.monster.18	0	86	1660	345000	0	0	6
19	name.monster.19	0	93	1800	567000	0	0	2
20	name.monster.20	0	96	1860	648000	0	0	2
99	name.monster.1	0	1	6	30	0	0	7
101	name.boss.101	1	10	40	200	0	0	4
102	name.boss.102	1	20	160	4500	0	0	3
103	name.boss.103	1	30	500	11250	0	0	1
104	name.boss.104	1	40	700	33750	0	0	5
105	name.boss.105	1	50	900	78000	0	0	7
106	name.boss.106	1	60	1100	135000	0	0	6
107	name.boss.107	1	70	1300	189750	0	0	2
108	name.boss.108	1	80	1500	331500	0	0	2
109	name.boss.109	1	90	1700	607500	0	0	8
110	name.boss.110	1	100	2000	1134000	0	0	0
201	name.boss.201	1	100	3000	1134000	90720	50	7
202	name.boss.202	1	100	4000	1134000	90720	50	4
203	name.boss.203	1	100	5000	1134000	90720	50	3
204	name.boss.204	1	100	6000	1134000	90720	50	1
205	name.boss.205	1	100	7000	1134000	90720	50	7
206	name.boss.206	1	100	8000	1134000	90720	50	4
207	name.boss.207	1	100	9000	1134000	90720	50	3
208	name.boss.208	1	100	10000	1134000	90720	50	1
209	name.boss.209	1	100	11000	1134000	90720	50	7
210	name.boss.210	1	100	12000	1134000	90720	50	4
211	name.boss.211	1	100	13000	1134000	90720	50	3
212	name.boss.212	1	100	14000	1134000	90720	50	1
213	name.boss.213	1	100	15000	1134000	90720	50	7
214	name.boss.214	1	100	16000	1134000	90720	50	4
215	name.boss.215	1	100	17000	1134000	90720	50	3
216	name.boss.216	1	100	18000	1134000	90720	50	1
301	name.worldboss.301	0	100	50000	1134000	0	50	0
302	name.worldboss.302	1	100	60000	1134000	0	50	4
303	name.worldboss.303	0	100	70000	1134000	0	50	1
304	name.worldboss.304	0	100	80000	1134000	0	50	2
305	name.worldboss.305	1	100	90000	1134000	0	50	1
306	name.worldboss.306	1	100	100000	1134000	0	50	5
307	name.worldboss.307	1	100	110000	1134000	0	50	6
308	name.worldboss.308	1	100	120000	1134000	0	50	2
309	name.worldboss.309	1	100	130000	1134000	0	50	8
310	name.worldboss.310	1	100	140000	1134000	0	50	7
311	name.worldboss.301	0	100	150000	1134000	0	50	0
312	name.worldboss.302	1	100	160000	1134000	0	50	4
313	name.worldboss.303	0	100	170000	1134000	0	50	1
314	name.worldboss.304	0	100	180000	1134000	0	50	2
315	name.worldboss.305	1	100	190000	1134000	0	50	1
316	name.worldboss.306	1	100	200000	1134000	0	50	5
317	name.worldboss.307	1	100	210000	1134000	0	50	6
318	name.worldboss.308	1	100	220000	1134000	0	50	2
319	name.worldboss.309	1	100	230000	1134000	0	50	8
320	name.worldboss.310	1	100	240000	1134000	0	50	7
321	name.worldboss.301	0	100	250000	1134000	0	50	0
322	name.worldboss.302	1	100	260000	1134000	0	50	4
323	name.worldboss.303	0	100	270000	1134000	0	50	1
324	name.worldboss.304	0	100	280000	1134000	0	50	2
325	name.worldboss.305	1	100	290000	1134000	0	50	1
326	name.worldboss.306	1	100	300000	1134000	0	50	5
327	name.worldboss.307	1	100	310000	1134000	0	50	6
328	name.worldboss.308	1	100	320000	1134000	0	50	2
329	name.worldboss.309	1	100	330000	1134000	0	50	8
330	name.worldboss.310	1	100	340000	1134000	0	50	7
331	name.worldboss.301	0	100	350000	1134000	0	50	0
332	name.worldboss.302	1	100	360000	1134000	0	50	4
333	name.worldboss.303	0	100	370000	1134000	0	50	1
334	name.worldboss.304	0	100	380000	1134000	0	50	2
335	name.worldboss.305	1	100	390000	1134000	0	50	1
336	name.worldboss.306	1	100	400000	1134000	0	50	5
337	name.worldboss.307	1	100	410000	1134000	0	50	6
