任务ID	任务名字	解锁等级	任务目标类型	能量	好友数	武器1ID	武器1数目	武器2ID	武器2数目	武器3ID	武器3数目	目标怪物ID	任务描述	任务计数	经验奖励	道具概率	奖励道具	奖励金钱	道具数量
1	name.maintask.1	1	2	2	0	0	0	0	0	0	0	99	tip.maintask.1	3	150	0	0	45	0
2	name.maintask.2	2	1	2	0	0	0	0	0	0	0	0	tip.maintask.2	3	65	0	0	105	0
3	name.maintask.3	3	1	2	0	0	0	0	0	0	0	0	tip.maintask.3	4	70	0	0	120	0
4	name.maintask.4	4	1	3	0	0	0	0	0	0	0	0	tip.maintask.4	4	80	0	0	135	0
5	name.maintask.5	5	2	4	0	0	0	0	0	0	0	1	tip.maintask.5	5	450	0	0	150	0
6	name.maintask.6	6	1	4	0	0	0	0	0	0	0	0	tip.maintask.6	6	100	20	1	180	1
7	name.maintask.7	7	1	5	0	0	0	0	0	0	0	0	tip.maintask.7	7	120	20	5001	195	1
8	name.maintask.8	8	2	5	0	0	0	0	0	0	0	2	tip.maintask.8	8	1120	20	2	225	1
9	name.maintask.9	9	1	5	0	0	0	0	0	0	0	0	tip.maintask.9	9	160	20	5002	240	1
10	name.maintask.10	10	2	5	0	0	0	0	0	0	0	101	tip.maintask.10	10	1800	10	2	270	1
11	name.maintask.11	11	1	6	1	0	0	0	0	0	0	0	tip.maintask.11	11	200	20	3	300	1
12	name.maintask.12	12	1	6	1	0	0	0	0	0	0	0	tip.maintask.12	12	220	20	3	330	1
13	name.maintask.13	13	1	7	1	0	0	0	0	0	0	0	tip.maintask.13	13	240	20	5003	340	1
14	name.maintask.14	14	1	7	1	0	0	0	0	0	0	0	tip.maintask.14	14	260	20	5003	355	1
15	name.maintask.15	15	2	8	1	0	0	0	0	0	0	3	tip.maintask.15	15	4200	20	4	365	1
16	name.maintask.16	16	1	8	1	0	0	0	0	0	0	0	tip.maintask.16	16	300	20	5004	375	1
17	name.maintask.17	17	1	9	1	0	0	0	0	0	0	0	tip.maintask.17	17	330	20	5	390	1
18	name.maintask.18	18	2	9	1	0	0	0	0	0	0	4	tip.maintask.18	18	6480	20	5005	400	1
19	name.maintask.19	19	1	10	1	0	0	0	0	0	0	0	tip.maintask.19	19	390	20	6	415	1
20	name.maintask.20	20	2	10	1	0	0	0	0	0	0	102	tip.maintask.20	20	8400	10	5006	425	1
21	name.maintask.21	21	1	11	1	0	0	0	0	0	0	0	tip.maintask.21	21	460	20	5007	435	1
22	name.maintask.22	22	1	11	1	0	0	0	0	0	0	0	tip.maintask.22	22	500	20	7	445	1
23	name.maintask.23	23	1	12	1	0	0	0	0	0	0	0	tip.maintask.23	23	550	20	5008	455	1
24	name.maintask.24	24	1	12	1	0	0	0	0	0	0	0	tip.maintask.24	24	600	20	8	465	1
25	name.maintask.25	25	2	13	1	0	0	0	0	0	0	5	tip.maintask.25	25	16500	20	5009	475	1
26	name.maintask.26	26	1	13	1	0	0	0	0	0	0	0	tip.maintask.26	26	720	20	9	485	1
27	name.maintask.27	27	1	14	1	0	0	0	0	0	0	0	tip.maintask.27	27	790	20	5010	495	1
28	name.maintask.28	28	2	14	1	0	0	0	0	0	0	6	tip.maintask.28	30	24080	20	10	505	1
29	name.maintask.29	29	1	15	1	0	0	0	0	0	0	0	tip.maintask.29	35	940	20	5011	520	1
30	name.maintask.30	30	2	15	1	0	0	0	0	0	0	103	tip.maintask.30	50	51000	10	11	535	1
31	name.maintask.31	31	1	16	1	0	0	0	0	0	0	0	tip.maintask.31	52	1020	20	5012	550	1
32	name.maintask.32	32	1	16	1	0	0	0	0	0	0	0	tip.maintask.32	54	1070	20	12	565	1
33	name.maintask.33	33	1	17	1	0	0	0	0	0	0	0	tip.maintask.33	56	1120	20	5013	580	1
