ID	ICON	技能等级	职业	等级限制	修炼次数	消耗金钱	攻击	防御	暴击	闪避	忽视进攻	忽视防御	减免率	减免几率	连击伤害	连击几率	吸收率	吸收几率	吸血率	吸血几率	生命条件	攻击提升	反伤率	反伤几率	技能描述	技能名字	自己技能动画	对方技能动画
101	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.100	name.skill.101		
101	1	1	2	10	5	253	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.101	name.skill.101		
101	1	2	2	20	10	466	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.102	name.skill.102		
101	1	3	2	30	20	753	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.103	name.skill.103		
101	1	4	2	40	30	1220	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.104	name.skill.104		
101	1	5	2	50	40	1982	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.105	name.skill.105		
101	1	6	2	60	60	3224	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.106	name.skill.106		
101	1	7	2	70	80	5244	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.107	name.skill.107		
101	1	8	2	75	100	5958	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.108	name.skill.108		
101	1	9	2	80	120	6575	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.109	name.skill.109		
101	1	10	2	85	150	7257	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.110	name.skill.110		
101	1	11	2	90	155	8012	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.110	name.skill.110		
101	1	12	2	100	160	9762	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.110	name.skill.110		
101	1	13	2	110	165	10884	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.110	name.skill.110		
101	1	14	2	120	170	12017	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.110	name.skill.110		
101	1	15	2	130	175	13270	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.110	name.skill.110		
101	1	16	2	140	180	14654	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.110	name.skill.110		
101	1	17	2	150	185	16182	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.110	name.skill.110		
101	1	18	2	160	190	17870	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.110	name.skill.110		
101	1	19	2	170	195	19734	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.110	name.skill.110		
101	1	20	2	180	200	21794	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.110	name.skill.110		
101	1	21	2	200	205	26582	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.110	name.skill.110		
101	1	22	2	220	210	29359	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tip.skill.110	name.skill.110		
