ID	怪物ID	道具1	掉率1	数量1	道具2	掉率2	数量2	道具3	掉率3	数量3	道具4	掉率4	数量4	CDTime
1	301	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
2	302	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
3	303	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
4	304	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
5	305	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
6	306	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
7	307	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
8	308	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
9	309	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
10	310	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
11	311	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
12	312	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
13	313	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
14	314	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
15	315	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
16	316	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
17	317	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
18	318	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
19	319	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
20	320	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
21	321	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
22	322	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
23	323	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
24	324	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
25	325	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
26	326	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
27	327	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
28	328	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
29	329	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
30	330	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
31	331	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
32	332	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
33	333	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
34	334	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
35	335	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
36	336	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
37	337	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
38	338	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
39	339	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
40	340	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
41	341	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
42	342	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
43	343	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
44	344	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
45	345	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
46	346	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
47	347	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
48	348	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
49	349	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
50	350	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
51	351	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
52	352	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
53	353	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
54	354	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
55	355	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
56	356	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
57	357	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
58	358	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
59	359	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
60	360	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
61	361	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
62	362	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
63	363	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
64	364	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
65	365	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
66	366	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
67	367	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
68	368	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
69	369	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
70	370	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
71	371	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
72	372	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
73	373	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
74	374	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
75	375	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
76	376	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
77	377	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
78	378	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
79	379	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
80	380	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
81	381	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
82	382	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
83	383	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
84	384	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
85	385	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
86	386	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
87	387	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
88	388	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
89	389	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
90	390	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
91	391	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
92	392	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
93	393	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
94	394	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
95	395	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
96	396	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
97	397	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30																	
98	398	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30			
99	399	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
100	501	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
101	502	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
102	503	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
103	504	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
104	505	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
105	506	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
106	507	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
107	508	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
108	509	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
109	510	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
110	511	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
111	512	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
112	513	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
113	514	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
114	515	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
115	516	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
116	517	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
117	518	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
118	519	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
119	520	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
120	521	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
121	522	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
122	523	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
123	524	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
124	525	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
125	526	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
126	527	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
127	528	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
128	529	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
129	530	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
130	531	50001	3	2	10502	13	1	13502	20	1	20506	25	1	30
